benchmark,expected,actual,time_s,result
ArithmeticException1,false,false,.62s,CORRECT
ArithmeticException5,true,true,.47s,CORRECT
ArithmeticException6,false,false,.62s,CORRECT
ArrayIndexOutOfBoundsException1,false,UNKNOWN,.62s,UNKNOWN
ArrayIndexOutOfBoundsException2,false,UNKNOWN,.61s,UNKNOWN
ArrayIndexOutOfBoundsException3,false,UNKNOWN,.61s,UNKNOWN
BufferedReaderReadLine,false,false,.64s,CORRECT
CharSequenceBug,false,false,.64s,CORRECT
CharSequenceToString,true,true,.66s,CORRECT
ClassCastException1,false,false,.48s,CORRECT
ClassCastException2,true,true,.48s,CORRECT
ClassCastException3,false,false,.48s,CORRECT
Class_method1,true,true,.47s,CORRECT
Inheritance1,true,true,.47s,CORRECT
NegativeArraySizeException1,false,false,.48s,CORRECT
NegativeArraySizeException2,false,false,.48s,CORRECT
NullPointerException1,true,false,.50s,INCORRECT
NullPointerException2,false,false,.47s,CORRECT
NullPointerException3,false,false,.47s,CORRECT
NullPointerException4,false,false,.48s,CORRECT
RegexMatches01,true,true,.47s,CORRECT
RegexMatches02,false,UNKNOWN,.47s,UNKNOWN
RegexSubstitution01,true,true,.49s,CORRECT
RegexSubstitution02,false,UNKNOWN,.48s,UNKNOWN
RegexSubstitution03,true,true,.49s,CORRECT
StaticCharMethods01,true,true,.48s,CORRECT
StaticCharMethods02,false,false,.79s,CORRECT
StaticCharMethods03,false,UNKNOWN,.56s,UNKNOWN
StaticCharMethods04,false,false,.63s,CORRECT
StaticCharMethods05,false,UNKNOWN,.49s,UNKNOWN
StaticCharMethods06,true,UNKNOWN,.53s,UNKNOWN
StringBuilderAppend01,true,true,.49s,CORRECT
StringBuilderAppend02,false,UNKNOWN,.47s,UNKNOWN
StringBuilderCapLen01,true,true,.48s,CORRECT
StringBuilderCapLen02,false,false,.62s,CORRECT
StringBuilderCapLen03,false,false,.63s,CORRECT
StringBuilderCapLen04,false,UNKNOWN,.48s,UNKNOWN
StringBuilderChars01,true,true,.47s,CORRECT
StringBuilderChars02,false,false,.63s,CORRECT
StringBuilderChars03,false,UNKNOWN,.48s,UNKNOWN
StringBuilderChars04,false,UNKNOWN,.49s,UNKNOWN
StringBuilderChars05,false,UNKNOWN,.47s,UNKNOWN
StringBuilderChars06,false,UNKNOWN,.48s,UNKNOWN
StringBuilderConstructors01,true,true,.56s,CORRECT
StringBuilderConstructors02,false,UNKNOWN,.49s,UNKNOWN
StringBuilderInsertDelete01,true,true,.50s,CORRECT
StringBuilderInsertDelete02,false,UNKNOWN,.49s,UNKNOWN
StringBuilderInsertDelete03,false,UNKNOWN,.48s,UNKNOWN
StringCompare01,true,true,.48s,CORRECT
StringCompare02,false,UNKNOWN,.49s,UNKNOWN
StringCompare03,false,UNKNOWN,.49s,UNKNOWN
StringCompare04,false,UNKNOWN,.49s,UNKNOWN
StringCompare05,false,false,.49s,CORRECT
StringConcatenation01,true,true,.70s,CORRECT
StringConcatenation02,false,false,.63s,CORRECT
StringConcatenation03,false,false,.64s,CORRECT
StringConcatenation04,false,false,.65s,CORRECT
StringConstructors01,true,true,.48s,CORRECT
StringConstructors02,false,false,.64s,CORRECT
StringConstructors03,false,false,.63s,CORRECT
StringConstructors04,false,false,.61s,CORRECT
StringConstructors05,false,false,.66s,CORRECT
StringContains01,false,false,.63s,CORRECT
StringContains02,false,false,.61s,CORRECT
StringIndexMethods01,true,true,.47s,CORRECT
StringIndexMethods02,false,false,.64s,CORRECT
StringIndexMethods03,false,UNKNOWN,.62s,UNKNOWN
StringIndexMethods04,false,false,.62s,CORRECT
StringIndexMethods05,false,UNKNOWN,.62s,UNKNOWN
